hash,Учебная группа,Специальность/направление,sem_key,n_records,n_distinct_disciplines,n_otlichno,n_horosho,n_udovl,n_neudovl,n_neyavka,n_nezachteno,n_debts,n_zachet_rows,n_zachteno,avg_score,avg_discipline_difficulty,group_difficulty,specialty_difficulty,n_retake_rows_in_semester,has_retake_in_semester,share_zachteno,semester_number,prev_avg_score,score_trend,actual_category,predicted_category,probability_0,probability_1,probability_2,probability_3+,match
db733ac324b1baf19900316907dff0c9,БЭК-20-1,Экономика,4045,11,10,4,3,3,0,0,0,0,1,1,4.1,0.0663989320299854,0.0260707635009311,0.023658464275126,1,True,1.0,6,3.75,0.3499999999999996,0,1,0.10153838757534507,0.4651814741682739,0.29068152208569514,0.1425986161706869,False
db8c6acf8e9e1346c66f0f3dae170c94,МЭК-22-1,Экономика,4045,7,7,7,0,0,0,0,0,0,0,0,5.0,0.0212301177000078,0.0285714285714285,0.023658464275126,0,False,1.0,2,5.0,0.0,0,0,0.8480864248231742,0.11489708515322188,0.01932760862334504,0.017688881400259725,True
dc1481d8cb74c683613687652cdd40e6,БИСТ-22-3,Информационные системы и технологии,4045,9,8,0,3,3,0,0,0,0,2,2,3.5,0.0126290778673684,0.0092838196286472,0.0207317073170731,1,True,1.0,2,4.5,-1.0,0,0,0.876405044244757,0.0895982633022995,0.021961871504166754,0.012034820948777192,True
dcb8aafb3af889e0f54214afff7956fd,БЭК-21-1,Экономика,4045,8,8,3,4,0,0,0,0,0,1,1,4.428571428571429,0.013755359291615,0.0008176614881439,0.023658464275126,0,False,1.0,4,4.714285714285714,-0.2857142857142856,0,0,0.9267846472870428,0.0393172148809662,0.026951500060287372,0.006946637771703612,True
dcee37184d1285f2b5e69c26123f3cd3,МТМО-22-3,Технологические машины и оборудование,4045,7,7,0,0,0,0,7,0,7,0,0,4.125,0.2752771279278632,0.4532224532224532,0.0708389024294362,0,False,1.0,2,4.0,0.0,3+,3+,0.008073217667030159,0.022844180468517297,0.040855758079455275,0.9282268437849975,True
dd33b70bcad3fb84804c960b79d69ad5,БЭН-21-2,Электроника и наноэлектроника,4045,15,11,1,1,8,0,0,0,0,1,1,3.3,0.0066032794950996,0.0158394931362196,0.0373485531190547,4,True,1.0,4,3.25,0.0499999999999998,1,1,0.1529886690003718,0.38340694164395556,0.19407263521866505,0.2695317541370079,True
ddc4978cc60876754e596397e83010f1,БЭК-20-1,Экономика,4045,10,10,6,2,1,0,0,0,0,1,1,4.555555555555555,0.0658019831277208,0.0260707635009311,0.023658464275126,0,False,1.0,6,4.428571428571429,0.1269841269841265,0,0,0.51316095980241,0.3612426331750685,0.07373361398741642,0.05186279303510527,True
ddc795bd18fdd7007aa7a53bf9f68208,СФП-20-1,Физические процессы горного или нефтегазового производства,4045,8,8,6,1,0,0,0,0,0,1,1,4.857142857142857,0.0479237437154464,0.0607734806629834,0.0206825232678386,0,False,1.0,6,4.833333333333333,0.0238095238095237,1,0,0.8219298340434263,0.12473790113976586,0.029876118753617297,0.02345614606319031,False
ddf513067d867db1b26a465f4803c8eb,БЭК-20-1,Экономика,4045,11,10,2,3,3,0,0,0,0,1,1,3.875,0.0636884566151427,0.0260707635009311,0.023658464275126,1,True,1.0,6,3.8333333333333335,0.0416666666666665,1,1,0.10027107615415488,0.413296846435815,0.3045987688928165,0.18183330851721466,True
de370de365ece76a5c5233078420793f,МЭК-22-1,Экономика,4045,7,7,7,0,0,0,0,0,0,0,0,5.0,0.0212301177000078,0.0285714285714285,0.023658464275126,0,False,1.0,2,5.0,0.0,0,0,0.8480864248231742,0.11489708515322188,0.01932760862334504,0.017688881400259725,True
de4977467b37eb3db4184adf8ada5326,БЭН-21-1,Электроника и наноэлектроника,4045,11,11,2,4,2,0,0,0,0,1,1,4.0,0.0078519003632211,0.0079413561392791,0.0373485531190547,0,False,1.0,4,4.0,0.0,1,0,0.577791167758402,0.2177045416109008,0.1438332840280162,0.0606710066026814,False
de9992a78cdf814c2799c471d2f4ec55,БМН-21-3,Менеджмент,4045,8,8,4,3,0,0,0,0,0,1,1,4.571428571428571,0.013755359291615,0.010566037735849,0.0306122448979591,0,False,1.0,4,4.285714285714286,0.2857142857142856,0,0,0.8543340399305981,0.10933957755626579,0.023585743069511556,0.012740639443624694,True
de9b947de67d2f9b1bbc8a16baa5ea3b,БМН-21-1,Менеджмент,4045,9,8,2,3,3,0,0,0,0,1,1,3.875,0.0143834863450625,0.0,0.0306122448979591,1,True,1.0,4,4.0,-0.125,0,0,0.8015644946481087,0.11102288788748171,0.06132186006689469,0.026090757397515162,True
defba48fabb6a859b9b1fdd5d8dad4e1,БМН-21-2,Менеджмент,4045,9,8,4,4,0,0,0,0,0,1,1,4.5,0.0143834863450625,0.0106463878326996,0.0306122448979591,1,True,1.0,4,4.428571428571429,0.0714285714285711,0,0,0.7399691750551124,0.19030113515017663,0.058585218814093724,0.011144470980617171,True
df2a7674fbe93c2cde1cd40e0943fb50,БМН-21-2,Менеджмент,4045,8,8,1,1,2,0,0,0,0,1,1,3.75,0.013755359291615,0.0106463878326996,0.0306122448979591,0,False,1.0,4,3.25,0.5,1,0,0.594171874139259,0.1785105657501041,0.1320844903676553,0.09523306974298243,False
df55c6f150739498ed5438ce4dc27d53,БЭК-21-1,Экономика,4045,8,8,2,1,4,0,0,0,0,1,1,3.7142857142857135,0.013755359291615,0.0008176614881439,0.023658464275126,0,False,1.0,4,3.857142857142857,-0.1428571428571428,0,0,0.8171813340137549,0.09018789185682227,0.06746484808262278,0.02516592604680003,True
df95ce222d3608bb6e172f51f5836962,ММТМ-22-9,Материаловедение и технологии материалов,4045,6,6,5,0,0,0,0,0,0,1,1,5.0,0.0194253217342278,0.0,0.0207856854567469,0,False,1.0,2,5.0,0.0,0,0,0.985199550944024,0.012983534726046452,0.001127547660059397,0.0006893666698705525,True
dfe4a4404a688582c9042de8f3ad9a83,БМН-21-1,Менеджмент,4045,8,8,7,0,0,0,0,0,0,1,1,5.0,0.013755359291615,0.0,0.0306122448979591,0,False,1.0,4,4.857142857142857,0.1428571428571432,0,0,0.9805896400210834,0.014985158334293657,0.0030860717168407995,0.001339129927782086,True
e1e35a45be67ecda49836e6b1a9a8090,МЭК-22-1,Экономика,4045,7,7,5,2,0,0,0,0,0,0,0,4.714285714285714,0.0212301177000078,0.0285714285714285,0.023658464275126,0,False,1.0,2,4.5,0.2142857142857144,0,0,0.6800800798545571,0.25276600755625417,0.04258756878038405,0.024566343808805596,True
e1ff0d6dc84d99d247da5ceb9ce7ff8d,СФП-20-1,Физические процессы горного или нефтегазового производства,4045,8,8,0,0,0,0,7,1,8,1,0,4.125,0.0479237437154464,0.0607734806629834,0.0206825232678386,0,False,0.0,6,3.0,0.0,3+,3+,0.001224325721860094,0.058093105151825725,0.03220193117969839,0.908480637946616,True
e27a36b1ebe203be0436d1cd8f98f30c,БЭК-21-3,Экономика,4045,8,8,1,3,3,0,0,0,0,1,1,3.7142857142857135,0.013755359291615,0.0128794848206071,0.023658464275126,0,False,1.0,4,4.0,-0.2857142857142856,0,0,0.43398545515374953,0.263296166650724,0.21434058931220232,0.08837778888332541,True
e28be4ea375790f2dbeb8326e5e2860e,СГД-18-6,Горное дело,4045,8,8,8,0,0,0,0,0,0,0,0,5.0,0.0332595527554923,0.0,0.028757550633661,0,False,1.0,10,5.0,0.0,0,0,0.9964801319124822,0.0027552516160467143,0.0001212436161297685,0.0006433728553412478,True
e3243e7304fe66469d0b44ba8c4d692b,ММТМ-22-8,Материаловедение и технологии материалов,4045,9,8,7,1,0,0,0,0,0,1,1,4.875,0.0636617800277128,0.0919540229885057,0.0207856854567469,1,True,1.0,2,4.5,0.375,0,0,0.5340217896436056,0.24328716996811012,0.07026340483081377,0.15242763555747105,True
e35f3e99693f17953379ce7fe47567d9,БМН-21-2,Менеджмент,4045,8,8,7,0,0,0,0,0,0,1,1,5.0,0.013755359291615,0.0106463878326996,0.0306122448979591,0,False,1.0,4,4.857142857142857,0.1428571428571432,0,0,0.9689181899830908,0.024714447450414574,0.0043631337266829134,0.002004228839811745,True
e362ba6b0fd6407610ca1ad70708919a,БМН-20-1,Менеджмент,4045,10,8,1,2,4,2,0,0,2,1,1,3.2222222222222223,0.066719992565184,0.021505376344086,0.0306122448979591,2,True,1.0,6,3.111111111111111,0.1111111111111111,1,2,0.04910137119804523,0.25926043310235786,0.39667877539249413,0.2949594203071031,False
e3c0249bda9922f66d03422be69350be,ММТМ-22-9,Материаловедение и технологии материалов,4045,6,6,5,0,0,0,0,0,0,1,1,5.0,0.0194253217342278,0.0,0.0207856854567469,0,False,1.0,2,5.0,0.0,0,0,0.985199550944024,0.012983534726046452,0.001127547660059397,0.0006893666698705525,True
e43867053cdd6d252be9eb1ba7184ce0,БТМО-20-1,Технологические машины и оборудование,4045,12,10,1,3,3,0,0,0,0,0,0,3.7142857142857135,0.0371119045288783,0.0838150289017341,0.0708389024294362,2,True,1.0,6,3.142857142857143,0.5714285714285716,3+,2,0.07445314702647761,0.3051432428540987,0.31274677259106226,0.3076568375283618,False
e50e0c1ad0ed2f7bea4c1300aa0100fa,БИВТ-21-17,Информатика и вычислительная техника,4045,9,9,2,3,3,0,0,0,0,1,1,3.875,0.02173944663529,0.0299032541776605,0.0237543949918531,0,False,1.0,4,3.333333333333333,0.5416666666666665,0,1,0.086878174457622,0.36951255478375616,0.35532812296260474,0.18828114779601843,False
e55bca969446804e99b44b2d08012d7a,БМН-21-4,Менеджмент,4045,9,8,3,2,3,0,0,0,0,1,1,4.0,0.0143834863450625,0.0258175559380378,0.0306122448979591,1,True,1.0,4,3.625,0.375,0,1,0.15027589632831803,0.45877538687949593,0.2837557786090509,0.107192938183137,False
